REGION,REG_ID,CONSTRUC,PERCENT,LON,LAT
Autonomous Region of Muslim Mindanao,ARMM,53,0.2,121.543930,6.399575
Bicol Region,Region V,740,2.3,123.362785,13.105480
CALABARZON,Region IV-A,7892,24.1,122.859638,12.820580
Cagayan Valley,Region II,985,3.0,121.643951,18.420331
Caraga,Region XIII,939,2.9,125.832695,9.191010
Central Luzon,Region III,4083,12.5,121.030804,15.447160
Central Visayas,Region VII,3376,10.3,123.629189,10.310120
Cordillera Administrative Region,CAR,343,1,121.071522,17.364370
Davao Region,Region XI,2642,8.1,125.852921,6.683105
Eastern Visayas,Region VIII,510,1.6,124.987316,11.326635
Ilocos Region,Region I,2311,7.1,120.364395,17.134935
MIMAROPA,Region IV-B,668,2,119.813755,10.703250
Metropolitan Manila,NCR,3260,10,121.024364,14.564756
Northern Mindanao,Region X,1799,5.5,124.496162,8.328630
SOCCSKSARGEN,Region XII,731,2.2,124.776440,6.624220
Western Visayas,Region VI,1556,4.8,122.426975,10.768195
Zamboanga Peninsula,Region IX,841,2.6,122.783943,7.858670
